File, Line, Severity, Id, Summary
temp\cmu_project\source\client\src\app.cpp,37,style,unreadVariable,Variable 'fd' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,38,style,unreadVariable,Variable 'recv_meta' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,38,style,unreadVariable,Variable 'recv_photo' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,546,style,unreadVariable,Variable 'recv_ret' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,591,style,unreadVariable,Variable 'recv_ret' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,630,style,unreadVariable,Variable 'recv_ret' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,663,style,unreadVariable,Variable 'recv_ret' is assigned a value that is never used.
temp\cmu_project\source\client\src\app.cpp,725,style,unreadVariable,Variable 'recv_ret' is assigned a value that is never used.
temp\cmu_project\source\common\NetworkTCP.cpp,117,style,variableScope,The scope of the variable 'line' can be reduced.
temp\cmu_project\source\common\NetworkTCP.cpp,36,warning,constStatement,Unused variable value 'TcpListenPort'
temp\cmu_project\source\server\src\baseEngine.cpp,9,warning,uninitMemberVar,Member variable 'baseEngine::context' is not initialized in the constructor.
temp\cmu_project\source\server\src\baseEngine.cpp,117,style,catchExceptionByValue,Exception should be caught by reference.
temp\cmu_project\source\server\src\common.cpp,50,style,variableScope,The scope of the variable 'entry' can be reduced.
temp\cmu_project\source\server\src\common.cpp,22,style,unusedFunction,The function 'calculateBindingBufferSizes' is never used.
temp\cmu_project\source\server\src\common.cpp,8,style,unusedFunction,The function 'safeCudaMalloc' is never used.
temp\cmu_project\source\server\src\faceNet.cpp,8,warning,uninitMemberVar,Member variable 'FaceNetClassifier::m_output' is not initialized in the constructor.
temp\cmu_project\source\server\src\faceNet.cpp,12,performance,useInitializationList,Variable 'm_INPUT_C' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,13,performance,useInitializationList,Variable 'm_INPUT_H' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,14,performance,useInitializationList,Variable 'm_INPUT_W' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,15,performance,useInitializationList,Variable 'm_frameWidth' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,16,performance,useInitializationList,Variable 'm_frameHeight' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,17,performance,useInitializationList,Variable 'm_gLogger' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,18,performance,useInitializationList,Variable 'm_dtype' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,19,performance,useInitializationList,Variable 'm_uffFile' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,20,performance,useInitializationList,Variable 'm_engineFile' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,21,performance,useInitializationList,Variable 'm_batchSize' is assigned in constructor body. Consider performing initialization in initialization list.
